1497 375 1388
605 0 615
0 25 275
3348 2611 1588
986 867 386
1557 597 588
550 0 540
0 446 641
2499 3790 3776
0 116 479
228 262 0
916 1001 936
1960 992 1008
201 0 303
2016 175 76
0 535 37
506 194 0
2160 0 1527
1131 0 210
184 121 222
0 59 130
0 575 25
0 37 611
2508 1557 1546
22 1146 3
595 0 550
790 1767 804
104 1004 857
1545 603 439
0 608 607
729 807 0
565 0 605
989 2011 2010
615 0 595
1074 2063 1096
2851 2858 386
23 16 551
3085 1211 2160
569 0 587
1591 439 435
3529 4435 3516
1638 661 698
44 2570 344
641 1620 43
647 661 0
211 0 132
173 128 1231
0 172 657
0 147 122
2230 2231 2029
586 1667 2623
1194 142 2543
1100 2005 2066
2067 675 1101
0 86 116
656 224 914
1030 752 967
1121 81 510
1125 21 137
571 584 0
573 454 542
1649 1747 1696
0 1020 973
927 0 191
0 940 989
499 94 1763
634 105 99
0 78 1414
0 457 843
0 1478 1470
1420 91 81
2024 2405 1420
1136 0 1124
1124 0 1112
4179 3415 2410
15 0 1895
0 1180 1219
1036 1097 68
2804 94 2816
1648 655 1679
71 0 58
0 479 102
0 843 1071
1420 1121 2048
1572 87 88
654 117 55
126 0 85
85 0 89
1443 88 91
0 1330 556
89 0 71
0 1282 1297
2568 1672 483
1871 79 66
1436 1462 2382
2406 2805 2568
753 1715 737
662 680 0
67 475 0
849 1037 833
705 3657 1954
82 775 634
721 1678 670
0 111 28
125 67 775
1731 2569 3526
2780 2692 2414
801 1094 785
4169 2661 2593
639 662 0
0 118 104
0 848 1020
0 494 956
3884 4620 5490
1678 635 2605
55 1450 10
86 1648 891
111 484 476
796 0 812
1251 0 241
20 0 652
148 49 1622
138 220 717
209 0 625
1730 525 105
142 613 87
1112 0 932
47 0 209
192 0 215
134 21 1143
220 184 707
46 543 1521
0 149 738
0 130 535
214 0 211
1546 1565 1547
521 59 0
176 0 123
1091 0 1107
2442 1193 1231
216 0 201
52 126 1214
1163 2091 2004
0 755 915
181 0 183
